distance,credit
100,50
200,50
300,50
400,50
500,50
600,54
700,54
800,54
900,54
1000,54
1100,54
1200,54
1300,54
1400,58
1500,58
1600,58
1700,58
1800,58
1900,58
2000,54
2100,54
2200,62
2300,62
2400,62
2500,62
2600,62
2700,62
2800,62
2900,62
3000,62
3100,66
3200,66
3300,66
3400,70
3500,70
3600,70
3700,70
3800,70
3900,74
4000,74
4100,74
4200,74
4300,74
4400,74
4500,74
4600,74
4700,74
4800,82
4900,82
5000,82
5100,82
5200,82
5300,82
5400,82
5500,86
5600,86
5700,86
5800,98
5900,98
6000,98
6100,98
6200,98
6300,98
6400,100
6500,100
6600,100
6700,100
6800,100
6900,100
7000,100
7100,100
7200,100
7300,100
7400,100
7500,100
7600,100
7700,100
7800,100
7900,100
8000,100
8100,100
8200,100
8300,100
8400,100
8500,100
8600,100
8700,100
8800,100
8900,100
9000,100
9100,100
9200,100
9300,100
9400,100
9500,100
9600,100
9700,100
9800,100
9900,100
10000,100
10100,100
10200,100
10300,100
10400,100
10500,96
10600,96
10700,96
10800,96
10900,96
11000,96
11100,96
11200,96
11300,96
11400,96
11500,96
11600,100
11700,100
11800,100
11900,100
12000,100
12100,100
12200,100
12300,100
12400,100
12500,100
12600,100
12700,100
12800,100
12900,100
13000,100
13100,100
13200,100
13300,100
13400,100
13500,100
13600,100
13700,100
13800,100
13900,100
14000,100
14100,100
14200,100
14300,96
14400,96
14500,96
14600,96
14700,96
14800,96
14900,96
15000,96
15100,96
15200,96
15300,100
15400,100
15500,100
15600,100
15700,100
15800,100
15900,100
16000,100
16100,100
16200,100
16300,100
16400,100
16500,100
16600,100
16700,100
16800,100
16900,100
17000,100
17100,100
17200,100
17300,100
17400,100
17500,100
17600,100
17700,100
17800,100
17900,100
18000,100
18100,100
18200,100
18300,100
18400,100
18500,100
18600,100
18700,100
18800,100
18900,100
19000,100
19100,100
19200,100
19300,100
19400,100
19500,100
19600,100
19700,100
19800,100
19900,100
20000,100
